name,News key,Twitter key,Main Business sector
AAX,AirAsia,AirAsia,Aviation
CIMB,CIMB,CIMB,Finance
HARTA,Hartalega,Hartalega,healthcare
LBS,LBS%2bBina,LBS bina,Property
LCTITAN,Lotte%2bchemical,Lotte chemical,Industrial products
MAXIS,MAXIS,Maxis,Telco&media
PHARMA,PHARMANIAGA,pharmaniaga,healthcare
SCIENTX,SCIENTEX,Scientex bhd,Industrial products
TAANN,TA ANN,Ta Ann holdings,plantations
TOPGLOV,Top%2bGlove,Top glove corp,healthcare
AFFIN,Affin%2bBank,Affin Bank,Finance
ASTRO,ASTRO,ASTRO,Telco&media
ECOWLD,ECO%2bWorld,Eco World Development,Property
MUHIBAH,Muhibbah%2bEngineering,Muhibbah Engineering,Construction
NESTLE,NESTLE,Nestle ,Consumer
UMW,UMW%2bholdings,UMW holdings,Consumer
WPRTS,WESTPORTS,Westports Malaysia,Transport&logistics
AEONCR,AEON%2bCREDIT,AEON CREDIT,Finance
BAUTO,BERMAZ%2bAUTO,Bermaz Auto,Consumer
BIMB,BIMB,Bank Islam,Finance
BJTOTO,BERJAYA%2bSports,BERJAYA SPORTS,Consumer
CMMT,CAPITALAND,CAPITALAND,Real Estate
CMSB,CAHYA%2bMATA,CAHYA MATA SARAWAK,Industrial products
DIALOG,DIALOG%2bGroup,DIALOG GROUP,Energy
DIGI,DIGI,DIGI,Telco&media
DLADY,Dutch%2bLady%2bMilk,DUTCH LADY MILK,Consumer
DRBHCOM,drb-hicom,DRB-HICOM,Consumer
GKENT,George%2bKent,GEORGE KENT MALAYSIA,Construction
IGBREIT,IGB%2bREAL%2bESTATE,IGB REAL ESTATE,Real Estate
KLK,Kuala%2bLumpur%2bKepong%2bbhd,KLK BHD,plantations
KPS,kumpulan%2bperangsang%2bselangor,KPS BHD,Industrial products
KSL,KSL%2bholdings,KSL Holdings,Property
MAGNI,Magni-tech,Magni-Tech,Consumer
PAVREIT,Pavilion%2breal%2bestate,Pavilion real estate,Real Estate
PENTA,pentamaster,pentamaster,Technology
PPB,PPB%2bgroup,PPB group,Consumer
QL,QL%2bResources,QL Resources,Consumer
RANHILL,Ranhill%2bholdings,Ranhill holdings,Utilities
SUNCON,Sunway%2bconstruction,Sunway construction,Construction
SUNREIT,Sunway%2breal%2bestate,Sunway real estate,Real Estate
SUNWAY,Sunway%2bberhad,Sunway bhd,Industrial products
TALIWRK,Taliworks,Taliworks Corp,Utilities
TEOSENG,Teo%2bSeng%2bCapital,Teo Seng Capital,Consumer
UTDPLT,United%2bplantations,United Plantations,plantations
VS,V.S%2bIndustry,V.S Industry,Industrial products
YINSON,Yinson%2bholdings,Yinson Holdings,Energy
